Tema,Archivos y multimedia,Fecha,Selección
Homogenizar Macros,,,
Hacer uso correcto de las etiquetas,,,
Hacer uso correcto de las guias,,,
Escalar los casos segun corresponda,,,
Crearse un Res en migra para pruebas,,,
Homogenizar la foto de intercom,,,
Avisar la salida a break/colacion - pausa,,,
Confirmar la asistencia o no a las capacitaciones,,,
Limitar el uso del mensaje de tiempo de espera,,,
Dejar disponibles todas las macros personales,,,
,,,
,,,
