Tema,Archivos y multimedia,Descripción,Fecha,Presenta,Prioridad,Selección
Reasignación de conversaciones,,"No se puede, no se debe reasignar a Seniors, salvo que se haya solicitado la ayuda porque la carga está determinada para para todos bajo la misma regla de round robin. 
  • Nunca rasignar. Solo coordinadores reasingan.
  • Seniors está para apoyar en el chat, no recibir el chat.
  • Siempre apoyarse en el equipo para consultas.",18 de febrero de 2026,Gonzalo Soffia,,
Recordatorio permisos y reportes,,"Conocemos la costumbre de usuarios que nos piden reportes de cierres aún cuando sus perfiles no están autorizados, como en cierres ciegos. 

https://app.intercom.com/a/inbox/nry7bg4q/inbox/conversation/215473304756806?view=List
https://app.intercom.com/a/inbox/nry7bg4q/inbox/conversation/215473318980423?view=List",4 de marzo de 2026,Andrés Vanegas,,
Lanzamiento Achoclonados,,Utiliza Raspberry,3 de marzo de 2026,Valeria García Arce,,
Premios CX Score,,Propuesta por desempeño trimestral.,3 de marzo de 2026,Gonzalo Soffia,,
Feedback CX Score,,¿Qué tan útil resulta? ¿Les gustaría otro formato? ¿agregar información?,3 de marzo de 2026,,,
Feedback creación TKTs,,"Casos incompletos; incluir la mayor cantidad de información 
Ej: Anulaciones (mesa,orden, fecha, factura)",4 de marzo de 2026,Andrés Vanegas,,
Cierre de Mes,,Resultados del mes en general,4 de marzo de 2026,Andrés Vanegas,,
