Tema,Archivos y multimedia,Descripción,Fecha,Presenta,Prioridad,Selección
TRM guarda 5 meses en New,,,,,,
Lineamiento en remote,,"En el tiempo se han recibido reclamos de diferentes clientes porque accedemos al remote sin avisar y/o porque bloqueamos pantallas.

Es importante escuchar al cliente y estar todos alineados en que siempre que necesitemos entrar, le anticipemos al cliente que será necesario hacerlo y que nos permita usarlo. 
#Entro en remoto

Comprendo, dame un momento para entrar PC desde acá y reviso. 
Por favor, no uses el PC mientras trabajo en él. No tardo ocupándolo. Gracias.

Es importante que aseguremos esta comunicación, y de no ser posible explicar que no tenemos otra manera de poder ayudar a distancia. ¡No presionar! Informar y encontrar junto al cliente el tiempo. ",,,,
Salida de Mariel y repatriación de Jaime,,"Ayer Mariel presentó su renuncia. Lamentablemente, las circunstancias en que se produce su salida nos dejó desprevenidos. Sin embargo, contactamos a Jaime Medalla y le agradecemos, porque soluciones para intentar asegurar lo más posible que la carga del equipo se mantenga estable dentro del contexto actual.",,,,
Flujo de incidencia,,"Presentación del flujo de incidencias. ",,,,
