Tema,Archivos y multimedia,Descripción,Fecha,Presenta,Prioridad,Selección
Apoyo en inventarios,,"Para el grupo nuevo, recordar apoyo cuando les toque algo de inventarios.",20 de abril de 2026,Gonzalo Soffia,0,
Motivo de contacto,,"Refuerzo en indicar el tipo correcto. No pueden existir consultas con motivo reinicio de TPS. ",20 de abril de 2026,Gonzalo Soffia,50,
Multisucursal,,Nuevo atributo de empresa disponible en intercom: Multisucursal TRUE or FALSE,22 de abril de 2026,Andrés Vanegas,50,
Taller de Impresoras,,Próxima sesión este jueves,22 de abril de 2026,Gonzalo Soffia,10,
Taller de Reportería,,"Próximo mes, invitaciones enviadas.",22 de abril de 2026,Gonzalo Soffia,5,
Cargas de folios,,Cuidado al cargar documentos,22 de abril de 2026,Andrés Vanegas,50,
