Nombre,Criticidad,Fecha escalamiento,Fecha solución,¿Quién realiza reporte?,¿Solucionado?
SATO,Alta,02/18/2025,18 de febrero de 2025,Tomas Drapela,En proceso
🥞PANQUEQUE,,02/18/2025,,"Andrés Vanegas, María Teresa Martinez",En proceso
,,,,,
CENTRAL CAFÉ,Alta,02/19/2025,,Tomas Drapela,En proceso
