Nombre,Creado,Fecha,Status
New Seguimiento,15 de abril de 2025 12:09,,Sin empezar
Validaciones y/o Nueva Información,15 de abril de 2025 12:09,,Sin empezar
Dudas y/o puntos a tratar con Fran,23 de abril de 2025 11:34,,Sin empezar
Revisión de casos (Correos),23 de abril de 2025 11:36,23 de abril de 2025,Sin empezar
Casos Críticos,28 de abril de 2025 14:53,,Sin empezar
Legacy,14 de mayo de 2025 11:00,,Sin empezar
Casos con desarrollo,26 de mayo de 2025 18:10,,Sin empezar
