Fecha,Api,Archivos multimedia,Id Rappi,Id Rest-Id Local,Nombre de Rappi,Nombre del restaurante,Nombre en Rappi,Pais,ordenes canceladas
07-07-2024,1302,,900402327,6754718777475072-00014,Oakberry Chapinero - Turbo,17 : Oakberry Açaí Chapinero (Franquicia),Oakberry Chapinero Rappi Turbo,co,1
28-06-2024,1301,,900041178,6518612538032128-00002,Empanadas Tipicas Porto Alegre,8 : Empanadas Típicas Portoalegre (Franquicia),Empanadas típicas portoalegre Rappi,co,3
,,,,,,,,,
7-07-2024,1301,Validaciones%20Rappi/Status%20del%20restaurante%20reportado%20por%20Rappi%20Soporte/7-07-2024/WhatsApp_Image_2024-07-05_at_9.19.23_AM.jpeg,900041178,6518612538032128-00002,Empanadas Tipicas Porto Alegre,8 : Empanadas Típicas Portoalegre (Franquicia),Empanadas típicas portoalegre Rappi,co,3
