Nombre de la tarea,Bloqueado por,Bloqueando,Estado,Etiquetas,Fecha límite,ID,Prioridad,Proyecto,Responsable,Subtareas,Tarea principal
Módulo 2.1,,,Completado,,,23,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 2 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%202%205f0a10c01ed74284a4e8c8cd9e76bed4.html)
Módulo 2.2,,,Completado,,,24,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 2 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%202%205f0a10c01ed74284a4e8c8cd9e76bed4.html)
Módulo 2.3,,,Completado,,,25,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 2 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%202%205f0a10c01ed74284a4e8c8cd9e76bed4.html)
Módulo 2.4,,,Completado,,,26,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 2 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%202%205f0a10c01ed74284a4e8c8cd9e76bed4.html)
Módulo 2.5,,,Completado,,,27,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 2 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%202%205f0a10c01ed74284a4e8c8cd9e76bed4.html)
Módulo 2.6,,,Completado,,,28,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 2 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%202%205f0a10c01ed74284a4e8c8cd9e76bed4.html)
Módulo 2.7,,,Completado,,,29,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 2 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%202%205f0a10c01ed74284a4e8c8cd9e76bed4.html)
Redactar Módulo 3,,,Completado,Procesos,2 de septiembre de 2024,30,Media,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),Lorena Moreno,"Módulo 3.1 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%203%201%20157e0258ba6e4597898846ef0839fa5e.html), Módulo 3.2 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%203%202%20166d678ce3b240b8a85bf146c6828d8b.html), Módulo 3.3 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%203%203%20258ade8e71f142b4a918f1f0815041e0.html), Módulo 3.4 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%203%204%201146ddeecab549538d3716d88783409d.html), Módulo 3.5 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%203%205%20937731dd6b3a4993ab55490bb7d9a859.html), Módulo 3.6 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%203%206%201bf4e185a32c4164973887478a6b790a.html), Módulo 3.7 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%203%207%20633132f6282d4f41921876c596fb6335.html)",
Módulo 3.1,,,Completado,,,31,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 3 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%203%200759c3701e6446f2bac3e71f2c25b56e.html)
Módulo 3.2,,,Completado,,,32,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 3 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%203%200759c3701e6446f2bac3e71f2c25b56e.html)
Módulo 3.3,,,Completado,,,33,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 3 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%203%200759c3701e6446f2bac3e71f2c25b56e.html)
Módulo 3.4,,,Completado,,,34,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 3 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%203%200759c3701e6446f2bac3e71f2c25b56e.html)
Módulo 3.5,,,Completado,,,35,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 3 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%203%200759c3701e6446f2bac3e71f2c25b56e.html)
Módulo 3.6,,,Completado,,,36,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 3 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%203%200759c3701e6446f2bac3e71f2c25b56e.html)
Módulo 3.7,,,Completado,,,37,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 3 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%203%200759c3701e6446f2bac3e71f2c25b56e.html)
Redactar Módulo 4,,,Completado,Procesos,2 de septiembre de 2024,38,Media,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),Lorena Moreno,"Módulo 4.1 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%204%201%201121daab6d0646a188d6924ccbb3dacc.html), Módulo 4.2 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%204%202%2085af1651e2d94462a688856512fe4203.html), Módulo 4.3 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%204%203%2079884849011b473c9967aa6ec8a16cce.html), Módulo 4.4 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%204%204%20d7a41587df1e4c85bf9f32454b837431.html), Módulo 4.5 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%204%205%200492ce25735149799e92e816830c9f69.html), Módulo 4.6 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%204%206%2058fa3c8118ee44b4958731ec55b30400.html), Módulo 4.7 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%204%207%2060e4fbeb1c634f418ade9b4c16bb637d.html)",
Módulo 4.1,,,Completado,,,39,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 4 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%204%20694c1c903ab041b995769a659ac3e371.html)
Módulo 4.2,,,Completado,,,40,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 4 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%204%20694c1c903ab041b995769a659ac3e371.html)
Módulo 4.3,,,Completado,,,41,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 4 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%204%20694c1c903ab041b995769a659ac3e371.html)
Módulo 4.4,,,Completado,,,42,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 4 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%204%20694c1c903ab041b995769a659ac3e371.html)
Módulo 4.5,,,Completado,,,43,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 4 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%204%20694c1c903ab041b995769a659ac3e371.html)
Módulo 4.6,,,Completado,,,44,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 4 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%204%20694c1c903ab041b995769a659ac3e371.html)
Módulo 4.7,,,Completado,,,45,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 4 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%204%20694c1c903ab041b995769a659ac3e371.html)
