Nombre de la tarea,Bloqueado por,Bloqueando,Estado,Etiquetas,Fecha límite,ID,Prioridad,Proyecto,Responsable,Subtareas,Tarea principal
Módulo 6.3,,,Completado,,,57,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 6 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%206%20839dedcafe5f4d98aea489465c24d980.html)
Módulo 6.4,,,Completado,,,58,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 6 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%206%20839dedcafe5f4d98aea489465c24d980.html)
Módulo 6.5,,,Completado,,,59,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 6 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%206%20839dedcafe5f4d98aea489465c24d980.html)
Módulo 6.6,,,Completado,,,60,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 6 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%206%20839dedcafe5f4d98aea489465c24d980.html)
Módulo 6.7,,,Completado,,,61,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 6 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%206%20839dedcafe5f4d98aea489465c24d980.html)
Redactar Módulo 7,,,Completado,Procesos,3 de octubre de 2024,62,Media,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),Lorena Moreno,"Módulo 7.1 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%207%201%20291c3361f47c4e4dbca2c00f27149cf3.html), Módulo 7.2 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%207%202%20491f7fb444cd4133a77c20c7be0825c9.html), Módulo 7.3 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%207%203%20d2f1ce9d42364363a70ffab6540b9052.html), Módulo 7.4 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%207%204%206c800d71dbb44ef6acf9266169ed6328.html), Módulo 7.5 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%207%205%2096373fd58ffa497586241d4c58d2046b.html), Módulo 7.6 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%207%206%200d4ab6a502c744088d1b73666672cb5a.html), Módulo 7.7 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%207%207%207e9d0cd85673449dad8ceef3d9506e8f.html)",
Módulo 7.1,,,Completado,,,63,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 7 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%207%20065a222267f0401ead4d25eea6169c0e.html)
Módulo 7.2,,,Completado,,,64,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 7 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%207%20065a222267f0401ead4d25eea6169c0e.html)
Módulo 7.4,,,Completado,,,65,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 7 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%207%20065a222267f0401ead4d25eea6169c0e.html)
Módulo 7.3,,,Completado,,,66,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 7 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%207%20065a222267f0401ead4d25eea6169c0e.html)
Módulo 7.5,,,Completado,,,67,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 7 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%207%20065a222267f0401ead4d25eea6169c0e.html)
Módulo 7.6,,,Completado,,,68,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 7 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%207%20065a222267f0401ead4d25eea6169c0e.html)
Módulo 7.7,,,Completado,,,69,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 7 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%207%20065a222267f0401ead4d25eea6169c0e.html)
Redactar Módulo 8,,,Completado,Procesos,10 de octubre de 2024,70,Media,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),Lorena Moreno,"Módulo 8.1 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%208%201%20b4635fd3df5e430fbc98044aaa92180f.html), Módulo 8.2 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%208%202%202ce09386e429440491df32ed2cc8430c.html), Módulo 8.3 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%208%203%20da401b151bb24fbda00fc7d1bc11211f.html)",
Módulo 8.1,,,Completado,,,71,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 8 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%208%20cf1a7ad3de6947afaa2ae37f5bf8c5ed.html)
Módulo 8.2,,,Completado,,,72,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 8 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%208%20cf1a7ad3de6947afaa2ae37f5bf8c5ed.html)
Módulo 8.3,,,Completado,,,74,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 8 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%208%20cf1a7ad3de6947afaa2ae37f5bf8c5ed.html)
Traducciones Errores TRM,,,Completado,Investigación,4 de julio de 2024,79,Media,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),Lorena Moreno,,
Seguimiento Sprint 42,,,Completado,Seguimiento,18 de julio de 2024,80,Baja,Seguimiento RFP (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Seguimiento%20RFP%20e1ccb88ed2084a78accfabff7f8cc0a7.html),Lorena Moreno,,
¿Cómo solicitar/escalar situaciones a a TECH DTE?,,,Completado,Procesos,18 de julio de 2024,82,Media,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),Lorena Moreno,,
Solicitud de Folios,,,Completado,Procesos,18 de julio de 2024,83,Media,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),Lorena Moreno,,
Seguimiento Sprint 43,,,En curso,Seguimiento,16 de agosto de 2024,84,Baja,Seguimiento RFP (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Seguimiento%20RFP%20e1ccb88ed2084a78accfabff7f8cc0a7.html),Lorena Moreno,,
Seguimiento Sprint 44,,,Sin empezar,Seguimiento,18 de agosto de 2024,85,Baja,Seguimiento RFP (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Seguimiento%20RFP%20e1ccb88ed2084a78accfabff7f8cc0a7.html),Lorena Moreno,,
,,,Sin empezar,,,86,,,,,
Actualización Resolución Colombia - Proveedor Factura 1,,,Completado,Procesos,20 de septiembre de 2024,87,Media,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),Lorena Moreno,,
Configuración Impuesto Exento Perú,,,Completado,Procesos,8 de octubre de 2024,88,Media,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),Lorena Moreno,,
Seguimiento Sprint 46 Planning,,,En curso,Seguimiento,8 de octubre de 2024,89,Baja,Seguimiento RFP (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Seguimiento%20RFP%20e1ccb88ed2084a78accfabff7f8cc0a7.html),Lorena Moreno,,
Seguimiento Sprint 46 Review,,,En curso,Seguimiento,25 de octubre de 2024,90,Baja,Seguimiento RFP (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Seguimiento%20RFP%20e1ccb88ed2084a78accfabff7f8cc0a7.html),Lorena Moreno,,
"Cambio Col Diferido ",,,Completado,Seguimiento,24 de enero de 2025,91,Media,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),Lorena Moreno,,
"Actualización Resolución Colombia - Proveedor Dispapeles ",,,Completado,Procesos,4 de diciembre de 2024,92,Media,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),Lorena Moreno,,
¿Qué podría salir mal?,,,Completado,Procesos,24 de enero de 2025,93,Alta,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),Lorena Moreno,,
¿Qué hacer si descargo el certificado y no aparece para ingresar al SII?,,,Completado,Procesos,24 de enero de 2025,94,Baja,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),Lorena Moreno,,
"Factura Global México ",,,Completado,Procesos,28 de agosto de 2025,95,Media,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),Lorena Moreno,,
Impuestos Costa Rica,,,Completado,Procesos,7 de marzo de 2025,96,Media,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),Lorena Moreno,,
Actualización Centro de Ayuda DTE,,,Completado,Procesos,14 de agosto de 2025,99,Media,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),Lorena Moreno,,
Seguimiento Planeación Engineering,,,En curso,Seguimiento,28 de agosto de 2025,100,Media,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),"Lorena Moreno, Doymar Raga Flores",,
"Flujo Capacitación DTE ",,,En curso,Procesos,1 de septiembre de 2025,101,Media,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),"Lorena Moreno, Doymar Raga Flores",,
Proveedor Argentina Toteat DTE,,,En curso,"Procesos, Seguimiento",25 de septiembre de 2025,102,Media,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),"Lorena Moreno, Doymar Raga Flores",,
Documentos Fiscales,,,En curso,Procesos,30 de septiembre de 2025,103,Media,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),"Lorena Moreno, Doymar Raga Flores",,
"Creación Cliente Colombia ",,,En curso,Procesos,8 de septiembre de 2025,104,Media,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),Lorena Moreno,,
Cómo instalar el certificado digital IDOK en Windows,,,En curso,Procesos,10 de septiembre de 2025,105,Media,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),Doymar Raga Flores,,
Método de Pago “Crédito” Colombia,,,En curso,Procesos,9 de octubre de 2025,107,Media,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),Lorena Moreno,,
"Procedimiento Bajas Argentina - Facturante ",,,En curso,Procesos,1 de diciembre de 2025,108,Media,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),Lorena Moreno,,
"Argentina - Como emitir una nota de crédito ",,,En curso,Procesos,22 de diciembre de 2025,109,Media,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),Lorena Moreno,,
Carga de Certificado Digital en DTEadmin,,,En curso,Procesos,30 de enero de 2026,110,Media,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),Lorena Moreno,,
Manual de Solución: Certificado IDOK no aparece en el SII,,,Completado,Procesos,30 de enero de 2026,111,Alta,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),Lorena Moreno,,
Guía de Configuración: Código CAByS (Costa Rica),,,En curso,Procesos,3 de febrero de 2026,112,Media,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),Lorena Moreno,"Clientes (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Clientes%202fc390731e23809093c8cae4bef4959f.html), Equipo Toteat (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Equipo%20Toteat%202fc390731e23802a9dd3f8c8ab7cb004.html)",
Clientes,,,Sin empezar,,,113,,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),,,Guía de Configuración: Código CAByS (Costa Rica) (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Gu%C3%ADa%20de%20Configuraci%C3%B3n%20C%C3%B3digo%20CAByS%20(Costa%20Rica)%202fc390731e2380069b1cdcf85413a118.html)
Equipo Toteat,,,Sin empezar,,,114,,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),,,Guía de Configuración: Código CAByS (Costa Rica) (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Gu%C3%ADa%20de%20Configuraci%C3%B3n%20C%C3%B3digo%20CAByS%20(Costa%20Rica)%202fc390731e2380069b1cdcf85413a118.html)
