Titulo,Comentarios,Status,Toteat,URL
Uber mejoras en activacion/desactivacion integracion,,Sin empezar,"Legacy, New",https://toteat-espacio.slack.com/archives/C0955P52A1J/p1756141761526709
Dato de la orden en la factura,,Sin empezar,,
Envio de menu como administrador o gerente,,Sin empezar,"Legacy, New",https://toteat-espacio.slack.com/archives/C06U2FW1B6G/p1754428301781799
Canal de slack con ordenes no integradas/ integradas,"Leandro ",Sin empezar,,
Logs de activaciones/ desactivacion de Apis e integraciones,,Sin empezar,,
Ordenamiento de los extras,,Sin empezar,,
