Titulo,Comentarios,Plataforma,Status,Ticket,Toteat,URL
backoffice no se visualizan en ocasiones el error de envio,Lo esta revisando Nico Quinteros,Todas,En progreso,,New," https://toteat-espacio.slack.com/archives/C06EJHC9NHL/p1755628153212449"
Dk Error en new,,Todas,Sin empezar,,New," https://toteat-espacio.slack.com/archives/C06EJHC9NHL/p1753905036458329"
Caso de Sushiman,Descuadres por el valor de delivery en peya,Peya,Validacion,"Esta en PR, van a validar si se puede pasar a produccion",Legacy,
Caso de Voucher,,Peya,En progreso,,New,https://toteat-espacio.slack.com/archives/C06EJHC9NHL/p1748633306992919
"Cash Collection ",,Peya,Desarrollo,,New,https://toteat-espacio.slack.com/archives/C06EJHC9NHL/p1756505133695299
