Titulo,Comentarios,Status,Toteat
"
• https://github.com/toteat/backend_delivery_integrations_ms/issues/405 [WIP]
• https://github.com/toteat/backend_delivery_integrations_ms/issues/404 [WIP]
• https://github.com/toteat/sap_b1_middleware/issues/105 [WIP]
• https://github.com/toteat/sap_b1_middleware/issues/86 [WIP]
• https://github.com/toteat/backend_gcr_py3/issues/4544 [WIP]
• https://github.com/toteat/backend_gae_py2/issues/618
• https://github.com/toteat/backend_gcr_py3/issues/3565
• https://github.com/toteat/backend_gcr_py3/issues/4532
• https://github.com/toteat/backend_gcr_py3/issues/4562",,Sin empezar,
"QA:
• https://github.com/toteat/frontend_angular/issues/2810
• https://github.com/toteat/backend_gcr_py3/issues/4546
• https://github.com/toteat/backend_gcr_py3/issues/3469",,Sin empezar,
