Nombre,Asignar,Estado
Caso de Justo conflicto de Apis,Andrea Carolina Ruiz,Listo
Resincronización PEYA 28-8-2024,,Listo
Caso de hubster-RappiTurbo y Danubio,,Listo
Revisión de Comunicación id 496046 Peya,,Listo
Revision de nuevo Caso de Quinoa,,En progreso
Resvion de correo de Jeremy,,Listo
Revision caso peya Grupo Jaka,,Listo
Pimenton Bayside,,Listo
"Caso del Sr MAriano 
https://mail.google.com/mail/u/0/?ogbl#inbox/FMfcgzQVzXdKMlBDWnhwfTTRXjNStHhR",,Sin empezar
