Solicitud,Fecha,Link,Observaciones,Status
Didi|Kaos Company|1350008881457848-00001|Colombia,23 de abril de 2025,https://toteat-espacio.slack.com/files/U0415HWV18U/F08PFCRSLH0/didi_kaos_company_1350008881457848-00001_colombia,escalado a Nico para su revision previa antes de escalarlo a new seguimiento,Sin empezar
Rappi|Local Burger Providencia|6143773809311744-00003|Chile,23 de abril de 2025,https://toteat-espacio.slack.com/archives/C03PV1V9XFX/p1745348837597079,"No era error de integracion, Rapi tenia apagada las integraciones de las sedes",Listo
Rappi|Kaos Company|1350008881457848-00001|Colombia,23 de abril de 2025,https://toteat-espacio.slack.com/files/U0415HWV18U/F08PPTQ3DT3/rappi_kaos_company_1350008881457848-00001_colombia,Escalado a New Seguimiento,Sin empezar
https://mail.google.com/mail/u/0/#inbox/FMfcgzQbfLSTkTkCkMmMtmCcfvhsBfMV,,,,Sin empezar
https://mail.google.com/mail/u/0/#inbox/FMfcgzQbfLSWRsRMmnGBxdbGBGPMptdF,,,,Sin empezar
,,,,Sin empezar
,,,,Sin empezar
